Image	Name	Class	Parent	ROI
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Negative	Negative	dlPAG-r	Polygon
