Image	Name	Class	Parent	ROI
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Positive	Positive	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
